Date,MktExRet,Mkt_DP,y10minFedFunds
1957.25,-0.034466475,0.041523675,0.0048
1957.5,0.069989331,0.039292183,0.0094
1957.75,-0.104230705,0.044456788,0.0047
1958,-0.060972482,0.047090609,0.0037
1958.25,0.06496279,0.044491949,0.0162
1958.5,0.084964535,0.041130991,0.0252
1958.75,0.113723896,0.03685693,0.02
1959,0.109844584,0.032690824,0.0154
1959.25,0.019030456,0.03208134,0.0116
1959.5,0.052047382,0.030765526,0.0093
1959.75,-0.031322708,0.032141049,0.0055
1960,0.055194167,0.031309382,0.0073
1960.25,-0.073927255,0.034282211,0.0036
1960.5,0.034841792,0.033579649,0.0067
1960.75,-0.054788298,0.035954894,0.0142
1961,0.089008168,0.032892582,0.0239
1961.25,0.131005727,0.029191952,0.0229
1961.5,-0.003251601,0.029350075,0.0275
1961.75,0.031499752,0.028622388,0.0166
1962,0.069136082,0.027540681,0.0193
1962.25,-0.028196624,0.028644942,0.0106
1962.5,-0.219047321,0.03709271,0.013
1962.75,0.028596949,0.036383482,0.0103
1963,0.118082105,0.033450729,0.0091
1963.25,0.055340746,0.031843206,0.0107
1963.5,0.041592558,0.0311588,0.01
1963.75,0.030152698,0.030482678,0.0061
1964,0.035359399,0.030261595,0.0069
1964.25,0.052709418,0.029291007,0.0076
1964.5,0.028704095,0.029030514,0.0077
1964.75,0.03090719,0.028795506,0.0083
1965,0.006700952,0.029086764,0.0029
1965.25,0.02588899,0.028894274,0.0011
1965.5,-0.033832424,0.030613891,0.0011
1965.75,0.071522821,0.029006934,0.0027
1966,0.036242125,0.028714873,0.0019
1966.25,-0.028338998,0.030086241,0.0008
1966.5,-0.050059729,0.032106822,-0.0028
1966.75,-0.104713462,0.03646879,-0.0052
1967,0.054718072,0.034496482,-0.0036
1967.25,0.132631791,0.030714505,0.0054
1967.5,0.018311862,0.030190974,0.0137
1967.75,0.068306922,0.028497569,0.016
1968,0.002592921,0.028419861,0.0093
1968.25,-0.075176011,0.030883882,-0.0012
1968.5,0.122165888,0.027905676,-0.0052
1968.75,0.026087305,0.027266286,-0.0033
1969,0.018574116,0.026953683,-0.0026
1969.25,-0.045388849,0.028210312,-0.0124
1969.5,-0.058158085,0.030418269,-0.0189
1969.75,-0.055956091,0.032256304,-0.019
1970,-0.015430885,0.032431269,-0.0119
1970.25,-0.042427641,0.033680621,-0.0071
1970.5,-0.219604501,0.041732908,0.0025
1970.75,0.164910337,0.035467051,0.0113
1971,0.079906881,0.032236142,0.021
1971.25,0.106945647,0.028964451,0.0168
1971.5,-0.010597012,0.029225522,0.0142
1971.75,-0.01676121,0.029522817,0.0073
1972,0.034687045,0.028333582,0.0245
1972.25,0.061424529,0.026610365,0.0202
1972.5,-0.008065217,0.026853797,0.0156
1972.75,0.013896118,0.026400847,0.0144
1973,0.058448401,0.025264885,0.0052
1973.25,-0.090565953,0.027487452,-0.0045
1973.5,-0.09752007,0.030208568,-0.0327
1973.75,0.059828332,0.028325609,-0.0322
1974,-0.128723559,0.032988842,-0.0266
1974.25,-0.034213837,0.034581255,-0.03
1974.5,-0.127306489,0.040085737,-0.0511
1974.75,-0.262459952,0.055242848,-0.0216
1975,0.0690953,0.05190044,0.0037
1975.25,0.229016359,0.042895084,0.0274
1975.5,0.146199244,0.037539194,0.0196
1975.75,-0.131305719,0.043153069,0.0232
1976,0.061895256,0.040289156,0.0287
1976.25,0.151223651,0.035242679,0.0274
1976.5,0.010793058,0.035566939,0.0252
1976.75,0.003555613,0.03629617,0.0239
1977,0.033081422,0.036890811,0.026
1977.25,-0.07067562,0.041214904,0.0264
1977.5,0.033178468,0.041464165,0.0191
1977.75,-0.037373431,0.044238665,0.0105
1978,-0.002041327,0.04578894,0.0126
1978.25,-0.047078551,0.049260666,0.0126
1978.5,0.078757741,0.046841444,0.0083
1978.75,0.075832789,0.044411162,-0.0032
1979,-0.085557079,0.049413012,-0.0097
1979.25,0.063134348,0.04735542,-0.0083
1979.5,0.016440972,0.047583771,-0.0152
1979.75,0.05747099,0.045839852,-0.0347
1980,-0.015567223,0.047259892,-0.0302
1980.25,-0.0910623,0.052797721,-0.0614
1980.5,0.128032152,0.047202292,0.0122
1980.75,0.10538847,0.043641239,-0.0106
1981,0.054493636,0.04120776,-0.0651
1981.25,-0.013922014,0.041718525,-0.0204
1981.5,-0.044095732,0.043418952,-0.0476
1981.75,-0.153249899,0.050877341,0.0007
1982,0.045019623,0.04858128,0.0137
1982.25,-0.111028107,0.054711074,-0.0107
1982.5,-0.041414263,0.056805459,0.0136
1982.75,0.089067495,0.052346191,0.012
1983,0.172524793,0.044601055,0.0178
1983.25,0.089903665,0.041093548,0.016
1983.5,0.106753548,0.036814543,0.0201
1983.75,-0.035088154,0.03779967,0.0206
